SampleID,testID,ParticleTypeDefinitionID,ParticleSubTypeCategoryID,Value
52203,180,10,7,2
52203,180,10,8,1
52203,180,11,1,1
52203,180,11,2,1
52203,180,11,3,1
52203,180,11,4,1
52203,180,11,5,2
52203,180,11,6,4
52203,180,11,7,1
52203,180,11,8,3
52203,180,16,1,1
52203,180,16,2,1
52203,180,16,3,1
52203,180,16,4,1
52203,180,16,5,3
52203,180,16,6,8
52203,180,16,7,7
52203,180,16,8,8
52191,240,3,1,1
52191,240,3,2,1
52191,240,3,3,1
52191,240,3,4,1
52191,240,3,5,1
52191,240,3,6,2
52191,240,3,7,2
52191,240,3,8,1
52191,240,9,1,2
52191,240,9,2,1
52191,240,9,3,2
52191,240,9,4,1
52191,240,9,5,4
52191,240,9,6,1
52191,240,9,7,2
52191,240,9,8,1
52191,240,10,1,1
52191,240,10,2,1
52191,240,10,3,2
52191,240,10,4,1
52191,240,10,5,2
52191,240,10,6,1
52191,240,10,7,2
52191,240,10,8,1
52191,240,11,1,1
52191,240,11,2,1
52191,240,11,3,1
52191,240,11,4,1
52191,240,11,5,1
52191,240,11,6,4
52191,240,11,7,1
52191,240,11,8,3
52191,240,16,1,1
52191,240,16,2,1
52191,240,16,3,1
52191,240,16,4,1
52191,240,16,5,3
52191,240,16,6,8
52191,240,16,7,7
52191,240,16,8,8
52243,180,3,1,1
52243,180,3,2,1
52243,180,3,3,1
52243,180,3,4,1
52243,180,3,5,2
52243,180,3,6,2
52243,180,3,7,2
52243,180,3,8,1
52243,180,10,1,1
52243,180,10,2,1
52243,180,10,3,1
52243,180,10,4,1
52243,180,10,5,2
52243,180,10,6,1
52243,180,10,7,2
52243,180,10,8,1
52243,180,11,1,1
52243,180,11,2,1
52243,180,11,3,1
52243,180,11,4,1
52243,180,11,5,2
52243,180,11,6,4
52243,180,11,7,1
52243,180,11,8,3
52243,180,16,1,1
52243,180,16,2,1
52243,180,16,3,1
52243,180,16,4,1
52243,180,16,5,3
52243,180,16,6,8
52243,180,16,7,7
52243,180,16,8,8
52307,180,3,1,1
52307,180,3,2,1
52307,180,3,3,3
52307,180,3,4,1
52307,180,3,5,2
52307,180,3,6,2
52307,180,3,7,2
52307,180,3,8,1
52307,180,5,1,1
52307,180,5,2,1
52307,180,5,3,1
52307,180,5,4,1
52307,180,5,5,2
52307,180,5,6,4
52307,180,5,7,1
52307,180,5,8,1
52307,180,10,1,1
52307,180,10,2,1
52307,180,10,3,2
52307,180,10,4,1
52307,180,10,5,2
52307,180,10,6,1
52307,180,10,7,2
52307,180,10,8,1
52307,180,11,1,1
52307,180,11,2,1
52307,180,11,3,1
52307,180,11,4,1
52307,180,11,5,2
52307,180,11,6,4
52307,180,11,7,1
52307,180,11,8,3
52305,240,3,3,1
52305,240,3,4,1
52118,180,3,1,1
52118,180,3,2,1
52118,180,3,3,1
52118,180,3,4,1
52118,180,3,5,1
52118,180,3,6,2
52118,180,3,7,2
52118,180,3,8,1
52118,180,4,1,1
52118,180,4,2,2
52118,180,4,3,1
52118,180,4,4,1
52118,180,4,5,2
52118,180,4,6,2
52118,180,4,7,2
52118,180,4,8,1
52118,180,10,1,1
52118,180,10,2,1
52118,180,10,3,1
52118,180,10,4,1
52118,180,10,5,2
52118,180,10,6,1
52118,180,10,7,2
52118,180,10,8,1
52118,180,11,1,1
52118,180,11,2,1
52118,180,11,3,1
52118,180,11,4,1
52118,180,11,5,2
52118,180,11,6,8
