ID,area,type,remark
64,creq,NULL,264 hrs @ 120C in rust bath
65,creq,NULL,1000 hrs @ 120C in rust bath
66,creq,NULL,1750 hrs @ 120C in rust  bath
67,creq,NULL,2500 hrs @ 120C in rust bath
68,creq,NULL,3250 hrs @ 120C in rust bath
89,creq,NULL,NEW PRODUCT BEING TESTED FOR COMPATIBILITY
90,creq,NULL,ARTIFICIALLY AGED USED PRODUCT BEING TESTED FOR COMPATIBILITY
91,labr,NULL,TEST ABORTED DUE TO EXCESSIVE STIFFNESS
97,creq,NULL,95% MOVLL/5% NEBULA
98,creq,NULL,90% MOVLL/10% NEBULA
