employeeID,testStandID,testStand,qualificationLevel
16585,10,TAN by Color Indication,Q/QAG
16585,20,Water - KF,Q/QAG
16585,30,Emission Spectroscopy - Standard,Q/QAG
16585,40,Emission Spectroscopy - Large,Q/QAG
16585,50,Viscosity @ 40,Q/QAG
16585,60,Viscosity @ 100,Q/QAG
16585,70,FT-IR,Q/QAG
16585,80,Flash Point,Q/QAG
16585,110,TBN by Auto Titration,Q/QAG
16585,120,Inspect Filter,Q/QAG
16585,130,Grease Penetration Worked,Q/QAG
16585,140,Grease Dropping Point,Q/QAG
16585,160,Particle Count,Q/QAG
16585,170,RBOT,Q/QAG
16585,180,Filter Residue,Q/QAG
16585,210,Ferrography,Q/QAG
16585,220,Rust,Q/QAG
16585,230,TFOUT,Q/QAG
16585,240,Debris Identification,Q/QAG
16585,250,Deleterious,Q/QAG
16585,270,Rheometer,Q/QAG
16585,280,Misc. Tests,Q/QAG
16585,284,D-inch,Q/QAG
16585,285,Oil Content,Q/QAG
16585,286,Varnish Potential Rating,Q/QAG
99999,10,TAN by Color Indication,Q/QAG
99999,20,Water - KF,Q/QAG
99999,30,Emission Spectroscopy - Standard,Q/QAG
99999,40,Emission Spectroscopy - Large,Q/QAG
99999,50,Viscosity @ 40,Q/QAG
99999,60,Viscosity @ 100,Q/QAG
99999,70,FT-IR,Q/QAG
99999,80,Flash Point,Q/QAG
99999,110,TBN by Auto Titration,Q/QAG
99999,120,Inspect Filter,MicrE
99999,130,Grease Penetration Worked,Q/QAG
99999,140,Grease Dropping Point,Q/QAG
99999,160,Particle Count,MicrE
99999,170,RBOT,Q/QAG
99999,180,Filter Residue,MicrE
99999,210,Ferrography,MicrE
99999,220,Rust,Q/QAG
99999,230,TFOUT,Q/QAG
99999,240,Debris Identification,MicrE
99999,250,Deleterious,Q/QAG
99999,270,Rheometer,Q/QAG
99999,280,Misc. Tests,Q/QAG
99999,284,D-inch,Q/QAG
99999,285,Oil Content,Q/QAG
99999,286,Varnish Potential Rating,Q/QAG
