ID,testID,narrative,major,minor,trace
35475,240,NO COPPER ALLOY PARTICLES DETECTED,86,33,32
35483,180,"METALLICS APPEAR TO BE COPPER ALLOY  ",20,22,21
35510,180,"METALLICS VERY FINE COPPER ALLOY AND WHITE METAL  ",22,21,24
35512,180,"METALLICS FINE COPPER ALLOY AND WHITE METAL.  ",25,21,28
35513,180,METALLICS FINE WHITE METAL PARTICLES,26,21,25
35514,180,"METALLICS COPPER ALLOY AND WHITE METAL-SOME MOLY  ",26,25,21
35515,180,"  ",22,26,21
35516,180,"  ",22,21,26
35523,180,"  ",20,28,21
35581,180,"  ",20,22,21
35609,180,"   ",20,22,21
35616,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH LIKE DEPOSITS. ",37,35,39
35617,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH LIKE DEPOSITS.   ",37,35,39
35618,120,"FILTER INTERNALS EXAMINATION INDICATED THE SLIGHT PRESENCE OF VARNISH LIKE DEPOSITS. ",36,39,37
35619,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH LIKE DEPOSITS.   ",36,37,39
35642,180,"  ",20,22,21
35667,240,SOME EVIDENCE OF POSSIBLE OVERHEATING,32,58,36
35680,180,"   ",22,24,21
35694,180,"  ",20,22,21
35726,180,"  ",20,22,21
35769,180,"  ",22,24,28
35780,240,NULL,32,36,33
35785,180,"  ",20,22,21
35792,180," ",20,22,21
35796,180,"SOME INSECT BODY PARTS DETECTED - NO UNUSUAL CONTAMINANTS DETECTED  ",26,165,22
35797,180,"  ",20,165,21
35799,180,"  ",20,165,21
35818,240,"METALLICS CONSISTING OF LAMINARS, CUTTING WEAR, NON-FERROUS METAL COPPER ALLOY ",39,36,32
35819,240,"METALLICS CONSISTING OF LAMINARS, CUTTING WEAR, SLIDING WEAR, NON-FERROUS METAL COPPER ALLOY ",32,36,39
35820,240," METALLICS CONSISTING OF LAMINARS, CUTTING WEAR, NON-FERROUS METAL COPPER ALLOY  ",39,33,32
35821,240,"METALLICS CONSISTING OF LAMINARS, CUTTING WEAR, SLIDING WEAR, NON-FERROUS METAL COPPER ALLOY  ",32,36,39
35826,180,"  ",20,22,21
35851,180,"NO UNUSUAL CONTAMINANTS DETECTED ",26,24,22
35852,180,"NO UNUSUAL CONTAMINANTS DETECTED ",26,25,22
35853,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,25,22
35854,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,22,25
35855,180,"NO UNUSUAL CONTAMINANTS DETECTED ",26,22,24
35857,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,22,25
35858,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,22,24
35859,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",22,26,24
35861,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,25,26
35864,180,"  ",22,24,21
35878,180,"  ",20,165,28
35889,180,"  ",20,28,21
35907,180,"  ",20,22,21
35909,240,"METALLICS CONSISTING OF SLIDING WEAR AND CUTTING WEAR - SOME NON-FERROUS METALS OF COPPER ALLOY ",39,35,32
35934,180,"  ",20,22,23
35968,180,"  ",20,24,22
35979,240,"METALLICS CONSISTING OF SLIDING WEAR AND CUTTING WEAR - SOME NON-FERROUS METALS OF COPPER ALLOY - ONE 60 uM LAMINAR PARTICLE
",39,32,36
35994,180,"  ",20,22,165
36008,180,"METALLICS CONSIST OF LAMINARS, SLIDING WEAR, NON-FERROUS COPPER ALLOY PARTICLES - PARTICLES RANGING FROM 15 TO 50 uM - SOME 175 uM PARTICLES - SOME EVIDENCE OF POSSIBLE OVERHEATING  ",20,21,25
36030,180,"  ",20,22,21
36043,240,"METALLICS CONSISTING OF LAMINARS, CUTTING AND SLIDING WEAR - NON-FERROUS METAL COPPER ALLOY ",33,39,32
36049,180,"  ",20,22,28
36051,180,NULL,20,22,21
36085,180,"  ",20,22,21
36095,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,22,21
36096,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",26,22,165
36098,180,"  ",22,25,21
36100,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,24,165
36104,180,"  ",20,22,21
36116,180,"  ",20,22,21
36119,180,"  ",20,22,21
36128,180,"  ",20,28,21
36141,180,"  ",20,22,21
36148,240,"DUE TO INSUFFICIENT SAMPLE SIZE, TEST SAMPLE AMOUNT USED 0.1371 G INSTEAD OF 0.5 G - SPHERES OF VARIOUS MICRON SIZES NOTED- IMAGE TAKEN ",86,36,32
36167,180,"  ",20,22,28
36188,180,"  ",20,22,21
36189,180,"  ",20,22,24
36211,180,"  ",20,22,21
36295,180,"  ",20,22,28
36309,180,"  ",20,22,26
36314,180,"  ",20,22,21
36318,180,"  ",20,22,21
36382,180,"  ",20,28,22
36383,240,NO UNUSUAL DISCOLORATION OF TEST FILTER MEDIA,33,35,34
36393,180,"  ",20,22,21
36421,180,NULL,22,24,21
36422,180,"  ",22,24,26
36423,180,"  ",24,22,26
36424,180,"  ",22,24,26
36425,180,"  ",22,24,26
36426,180,"  ",22,24,26
36427,180,"  ",22,24,26
36428,180,"  ",22,24,28
36456,180,"  ",20,22,21
36457,180,"  ",20,22,21
36458,180,"  ",20,22,21
36476,180,"  ",22,24,26
36477,180," ",25,26,21
36478,180,"NO UNUSUAL CONTAMINANTS DETECTED ",23,165,24
36480,180,"TRACE OF METALLICS - MOSTLY WHITE METAL-A FEW APPEARED TO BE A COPPER ALLOY - SOME MOLY AND A FEW DARK SPHERES NOTED.  ",25,26,21
36527,240,"SOME SAND, DIRT, MOLY DETECTED.  METALLICS MOSTLY WHITE METAL. ",36,32,33
36532,180,"   ",24,22,21
36533,180,"SOME METALLICS, MOLY, AND DARK SPHERES NOTED.  ",22,26,25
36536,180,"   ",24,26,21
36537,180,"  ",169,24,21
36538,180,"  ",22,24,21
36571,180,"  ",20,22,21
36581,180,NULL,20,22,21
36635,180,"  ",20,22,21
36649,240,"A FEW COPPER ALLOY PARTICLES WERE PRESENT ",42,41,43
36651,240,"SOME CUTTING WEAR PARTICLES PRESENT.  A FEW COPPER ALLOY PARTICLES WERE PRESENT ",38,42,41
36652,240,"MAJOR METALLICS OF COPPER ALLOY. SOME EVIDENCE OF POSSIBLE OVERHEATING ",41,38,42
36653,240,"A FEW CUTTING WEAR PARTICLES PRESENT. A FEW COPPER ALLOY PARTICLES WERE PRESENT  ",38,42,41
36686,180,"  ",20,22,21
36687,180,"  ",20,22,21
36717,240,"BOTH WHITE METAL AND COPPER ALLLOY PARTICLES PRESENT-RED AND BLACK OXIDES, SAND/DIRT AND MOLYDISULFIDE PRESENT",41,43,42
36718,240,"METALLICS MOSTLY WHITE METAL-SOME FINELY DIVIDED METALLICS-RED AND BLACK OXIDES AND MOLYDISULFIDE PRESENT. ",41,43,42
36719,240,"BOTH WHITE METAL AND COPPER ALLLOY PARTICLES PRESENT-RED AND BLACK OXIDES, SAND/DIRT AND MOLYDISULFIDE PRESENT",41,43,42
36720,240,"METALLICS MOSTLY WHITE METAL-SOME FINELY DIVIDED METALLICS-RED AND BLACK OXIDES AND MOLYDISULFIDE PRESENT. ",41,43,42
36721,240,"METALLIC-BOTH WHITE METAL AND COPPER ALLLOY PARTICLES PRESENT-CUTTING AND LAMINAR WEAR  ",36,32,39
36722,240,"METALLICS MOSTLY WHITE METAL-SOME COPPER ALLOY METALLICS-RED AND BLACK OXIDES AND MOLYDISULFIDE PRESENT.  ",42,43,38
36739,240,"METALLICS MOSTLY WHITE METAL-SOME COPPER ALLOY METALLICS-RED AND BLACK OXIDES AND MOLYDISULFIDE PRESENT ",42,43,38
36740,240,"METALLICS MOSTLY WHITE METAL-SOME COPPER ALLOY METALLICS-RED AND BLACK OXIDES AND MOLYDISULFIDE PRESENT  ",42,43,38
36741,180,"  ",25,21,28
36747,180,"  ",20,28,21
36751,240,"SOME CUTTING WEAR PARTICLES - METALLICS MOSTLY WHITE METAL-SOME COPPER ALLOY METALLICS-RED AND BLACK OXIDES AND MOLYDISULFIDE PRESENT ",38,42,41
36753,180,"  ",20,22,21
36781,180,"  ",20,22,21
36794,180,"METALLICS CONSISTING OF WHITE AND COPPER ALLOY PARTICLES  ",25,26,21
36799,240,"  TRACE METALLICS WHITE METAL AND COPPER ALLOY PARTICLES.",36,37,32
36812,180,"  ",20,28,21
36837,240,"SPHERES APPEARED TO BE GLASS/PLASTIC BEADS- BLACK PARTICLES WERE CLUMPED TOGETHER AND HAD LIMITED SOLUABILITY IN THE OIL.  2 IMAGES TAKEN OF THIS SAMPLE.  ",94,161,39
36839,240,"SPHERES APPEARED TO BE GLASS/PLASTIC BEADS-BLACK PARTICLES WERE CLUMPED TOGETHER AND HAD LIMITED SOLUABILITY IN THE OIL.  ",94,161,32
36840,240,"SPHERES APPEARED TO BE GLASS/PLASTIC BEADS-BLACK PARTICLES WERE CLUMPED TOGETHER AND HAD LIMITED SOLUABILITY IN THE OIL. ",94,161,39
36841,240,"SPHERES APPEARED TO BE GLASS/PLASTIC BEADS-BLACK PARTICLES WERE CLUMPED TOGETHER AND HAD LIMITED SOLUABILITY IN THE OIL. ",94,161,32
36854,180,"CUTTING WEAR PARTICLES - SOME COARSE SLIDING WEAR PARTICLES   ",20,21,22
36859,180,SOME SAND AND DIRT AND INSECT PARTS,20,22,25
36876,180,"  ",20,22,21
36892,180,"  ",20,22,21
