eq_tag_num,lube_component_code,lube_location_code,lcde_id,sample_id,disposition,wr_num,comments,completed_date,enterID,reviewID,PDFFile
3MRCEP01B,001,013,"00-RC-14767 ",14767,1,NULL,NULL,2000-05-03 00:00:00.000,"0         ","0         ",NULL
1MOSNT01B,011,060,"00-OS-15284 ",15284,0," "," ",2000-06-11 00:00:00.000,"0         ","0         ",NULL
1JSGEUV0180,005,009,"00-SG-15356 ",15356,0," "," ",2000-07-03 00:00:00.000,"0         ","0         ",NULL
2MPWNP01A,002,004,"00-PW-15525 ",15525,0," "," ",2000-07-25 00:00:00.000,"0         ","0         ",NULL
2MAFBP01,002,001,"00-AF-15585 ",15585,0," "," ",2000-07-26 00:00:00.000,"0         ","0         ",NULL
1MCHAP01,001,007,"00-CH-15590 ",15590,0," "," ",2000-08-11 00:00:00.000,"0         ","0         ",NULL
3JSGEUV0180,005,009,"00-SG-15641 ",15641,0," "," ",2000-08-15 00:00:00.000,"0         ","0         ",NULL
3JSGBUV0132,005,009,"00-SG-15637 ",15637,2,231239,high acid number...change oil,2000-08-17 00:00:00.000,"0         ","0         ",NULL
1JWCNHV0104,097,040,"00-WC-15631 ",15631,0," ",ba not used,2000-08-29 00:00:00.000,"0         ","0         ",NULL
1JFWNFV0002,005,009,"00-FW-15998 ",15998,2,232452,change oil to remove debris,2000-09-27 00:00:00.000,"0         ","0         ",NULL
3MCDNP01B,002,003,"00-CD-15828 ",15828,0," "," ",2000-09-28 00:00:00.000,"0         ","0         ",NULL
2JCDNHV0029,097,040,"00-CD-16073 ",16073,2,232967,debris in oil,2000-10-13 00:00:00.000,"0         ","0         ",NULL
2JFWNHV0102,097,040,"00-FW-16151 ",16151,0," ",ba not used in this oil..oil is sat,2000-10-20 00:00:00.000,"0         ","0         ",NULL
2MRCEP01D,001,013,"00-RC-16128 ",16128,0," ",RBOT test well above criteria.  Rust test pass. FTIR ok. cleanliness ok and oil to be cleaned.,2000-10-26 00:00:00.000,"0         ","0         ",NULL
2MOSNT01B,011,060,"00-OS-16390 ",16390,1,NULL,NULL,2000-11-03 00:00:00.000,"0         ","0         ",NULL
3MOSNT01B,011,060,"00-OS-16582 ",16582,0," ",advise sta to purify oil for 1-2 days,2000-12-01 00:00:00.000,"0         ","0         ",NULL
1MSCNP11,064,040,"00-SC-16587 ",16587,0," "," ",2000-12-15 00:00:00.000,"0         ","0         ",NULL
3MCONT01,019,009,"01-CO-16665 ",16665,0," ","smallest particals just above acceptance criteria.  continue monitoring with next sample. (note, previous sample also exceeded critieri for cleanliness",2001-01-05 00:00:00.000,"0         ","0         ",NULL
1MAFAK01,004,001,"01-AF-16798 ",16798,0," ",viscosity slightly high. all other perameters satisfactory. continue routine monitoring. Oil is satisfactory.,2001-01-30 00:00:00.000,"0         ","0         ",NULL
3MCHAP01,001,007,"01-CH-16858 ",16858,0," "," ",2001-02-01 00:00:00.000,"0         ","0         ",NULL
3MCHEP01,001,007,"01-CH-17023 ",17023,0," "," ",2001-03-07 00:00:00.000,"0         ","0         ",NULL
1MCHAP01,001,006,"01-CH-17299 ",17299,0," ",oil is acceptable and meets criteria.,2001-04-07 00:00:00.000,"0         ","0         ",NULL
2MTCNP01B,002,001,"01-TC-17183 ",17183,0," "," ",2001-04-09 00:00:00.000,"0         ","0         ",NULL
3MEWAP01,002,001,"01-EW-17222 ",17222,0," "," ",2001-04-11 00:00:00.000,"0         ","0         ",NULL
1JFWNHV0102,097,040,"01-FW-17397 ",17397,0," ",ba not used for this oil ...oil is satisfactory,2001-04-14 00:00:00.000,"0         ","0         ",NULL
1EPEBG02,010,002,"01-PE-17585 ",17585,0," ",viscosity below criteria. Low wear levels indicate satisfactory performance. Oil acceptable with continued trending,2001-04-22 00:00:00.000,"0         ","0         ",NULL
1JNCNHV0485,097,040,"01-NC-17736 ",17736,0," ",ba not used,2001-05-07 00:00:00.000,"0         ","0         ",NULL
1MNCNP01A,002,001,"01-NC-17778 ",17778,0," "," ",2001-06-08 00:00:00.000,"0         ","0         ",NULL
1MCONT01,019,009,"01-CO-17990 ",17990,0," ",25-50 micro particles just above criteria.....continue routine monitoring..note water at 802 ppm as possible contributor,2001-07-05 00:00:00.000,"0         ","0         ",NULL
3MCONT01,019,009,"01-CO-17900 ",17900,1,NULL,NULL,2001-07-07 00:00:00.000,"0         ","0         ",NULL
1JHPBUV0002,097,040,"01-HP-18079 ",18079,0," ",ba not used for this oil,2001-07-31 00:00:00.000,"0         ","0         ",NULL
1MEWBP01,001,001,"01-EW-18188 ",18188,0," "," ",2001-08-15 00:00:00.000,"0         ","0         ",NULL
1MEWAP01,001,002,"01-EW-18301 ",18301,0," "," ",2001-08-29 00:00:00.000,"0         ","0         ",NULL
3MCHBP01,001,007,"01-CH-18417 ",18417,0," "," ",2001-09-19 00:00:00.000,"0         ","0         ",NULL
1MCHBP01,001,007,"01-CH-18559 ",18559,0," "," ",2001-10-03 00:00:00.000,"0         ","0         ",NULL
2JSGEUV0180,005,009,"01-SG-18527 ",18527,0," "," ",2001-10-05 00:00:00.000,"0         ","0         ",NULL
3MZCNG01,168,007,"01-ZC-18748 ",18748,0," ",Tan number high due to vaportech. TAN sat. Vaportech concentration sat,2001-10-19 00:00:00.000,"0         ","0         ",NULL
3JCWNHV0013,097,040,"01-CW-18762 ",18762,0," "," ",2001-10-19 00:00:00.000,"0         ","0         ",NULL
2JSGAUV0174,005,009,"01-SG-18522 ",18522,2,243121,tan trending high...change oil,2001-10-23 00:00:00.000,"0         ","0         ",NULL
3JCWNHV0010,097,040,"01-SG-18760 ",18760,0," "," ",2001-11-01 00:00:00.000,"0         ","0         ",NULL
2MARNP01B,001,047,"01-AR-19208 ",19208,0," "," ",2001-11-15 00:00:00.000,"0         ","0         ",NULL
3JMTNUV0328C,097,040,"01-MT-19317 ",19317,0," ",ba not used,2001-12-12 00:00:00.000,"0         ","0         ",NULL
1MCHEP01,001,007,"01-CH-19456 ",19456,0," "," ",2001-12-20 00:00:00.000,"0         ","0         ",NULL
2MZTNG01,052,113,"02-ZT-19876 ",19876,0," ",ba not used,2002-02-12 00:00:00.000,"0         ","0         ",NULL
2MCWNP01C,002,003,"02-CW-19523 ",19523,0," "," ",2002-02-13 00:00:00.000,"0         ","0         ",NULL
2JSGNUV0034,097,040,"02-SG-19938 ",19938,0," ",ba not used,2002-03-22 00:00:00.000,"0         ","0         ",NULL
2JSGNUV0031,097,040,"02-SG-19936 ",19936,0," ",trace levels wear metal,2002-03-28 00:00:00.000,"0         ","0         ",NULL
2JNCNUV0099,097,040,"02-NC-20150 ",20150,0," "," ",2002-03-29 00:00:00.000,"0         ","0         ",NULL
2MZCNG01,038,009,"02-ZC-20186 ",20186,0," ",ba  is used which increases TAN. Oil is acccaptable for continued use. FTIR sat. Vis affect by Vaportech & sat,2002-04-04 00:00:00.000,"0         ","0         ",NULL
3MOSNT01A,011,060,"02-OS-20386 ",20386,0," "," ",2002-04-09 00:00:00.000,"0         ","0         ",NULL
2MRCEP01D,002,004,"02-RC-20088 ",20088,0," ",RBOT above criteria. Rust and FTIR sat.  Oil to be purified via standard practice. Oil acceptable for re-use.,2002-04-17 00:00:00.000,"0         ","0         ",NULL
1MARNP01A,001,002,"02-AR-20580 ",20580,0," "," ",2002-05-15 00:00:00.000,"0         ","0         ",NULL
3JSGEUV0180,005,009,"02-SG-20724 ",20724,0," "," ",2002-06-14 00:00:00.000,"0         ","0         ",NULL
1MCWNP01C,002,003,"02-CW-20821 ",20821,0," "," ",2002-06-28 00:00:00.000,"0         ","0         ",NULL
1JHPAUV0003,097,040,"02-HP-20891 ",20891,0," ",ba not used,2002-07-10 00:00:00.000,"0         ","0         ",NULL
1MAFBP01,001,002,"02-AF-20893 ",20893,0," "," ",2002-07-10 00:00:00.000,"0         ","0         ",NULL
1MPWNP01A,002,003,"02-PW-21034 ",21034,1,NULL,NULL,2002-07-11 00:00:00.000,"0         ","0         ",NULL
1MNCNP01B,002,002,"02-NC-21031 ",21031,0," "," ",2002-07-11 00:00:00.000,"0         ","0         ",NULL
1MNCNP01B,002,001,"02-NC-21030 ",21030,0," "," ",2002-07-11 00:00:00.000,"0         ","0         ",NULL
1MOSNT01A,011,060,"02-OS-21009 ",21009,0," "," ",2002-07-11 00:00:00.000,"0         ","0         ",NULL
3MWCNE01A,007,009,"02-WC-21041 ",21041,0," "," ",2002-07-11 00:00:00.000,"0         ","0         ",NULL
3MOSNT01B,011,060,"02-OS-21040 ",21040,0," "," ",2002-07-11 00:00:00.000,"0         ","0         ",NULL
3MAFAP01,001,002,"02-AF-21027 ",21027,0," "," ",2002-07-11 00:00:00.000,"0         ","0         ",NULL
3MAFAP01,001,001,"02-AF-21026 ",21026,0," "," ",2002-07-11 00:00:00.000,"0         ","0         ",NULL
3MCWNP01D,002,003,"02-CW-20962 ",20962,0," "," ",2002-07-12 00:00:00.000,"0         ","0         ",NULL
3MCWNP01A,002,003,"02-CW-20959 ",20959,0," "," ",2002-07-12 00:00:00.000,"0         ","0         ",NULL
AMGTNK01A,004,009,"02-GT-21046 ",21046,0," "," ",2002-07-12 00:00:00.000,"0         ","0         ",NULL
AMDGNH0T01,006,009,"02-DG-20561 ",20561,0," "," ",2002-07-12 00:00:00.000,"0         ","0         ",NULL
2MDGAH01,006,009,"02-DG-20616 ",20616,0," ",viscosity slightly below criteria. monitor routinely  with future samples,1900-01-01 00:00:00.000,"0         ","0         ",NULL
2MDGAH01,006,009,"02-DG-20616 ",20616,1,NULL,NULL,2002-07-12 00:00:00.000,"0         ","0         ",NULL
1MCHBP01,001,006,"98-CH-8605  ",8605,1," "," ",1998-01-15 00:00:00.000,"0         ","0         ",NULL
2MSPAP01,002,004,"98-SP-8968  ",8968,1," "," ",1998-04-08 00:00:00.000,"0         ","0         ",NULL
2MIANC01C,003,006,"98-IA-9757  ",9757,1," ",change oil due to viscosity - incorrect oil added (wr # 824726),1900-01-01 00:00:00.000,"0         ","0         ",NULL
2MEDNP01B,002,003,"98-ED-9975  ",9975,1," "," ",1998-07-21 00:00:00.000,"0         ","0         ",NULL
3MNCNP01B,002,001,"98-NC-10165 ",10165,1," "," ",1998-07-28 00:00:00.000,"0         ","0         ",NULL
2MSCNP11,064,040,"98-SC-10188 ",10188,1," "," ",1998-07-30 00:00:00.000,"0         ","0         ",NULL
2MOSNT01A,011,060,"98-OS-10223 ",10223,1," "," ",1998-09-01 00:00:00.000,"0         ","0         ",NULL
3MSCNP09,064,040,"99-SC-10601 ",10601,1," "," ",1999-03-09 00:00:00.000,"0         ","0         ",NULL
1JSGNHV0006,097,040,"00-SG-13443 ",13443,1," "," ",2000-03-15 00:00:00.000,"0         ","0         ",NULL
3MOSNT01B,011,060,"00-OS-15098 ",15098,1," "," ",2000-04-28 00:00:00.000,"0         ","0         ",NULL
AMFPNM01A,006,006,"00-FP-15513 ",15513,1," "," ",2000-12-01 00:00:00.000,"0         ","0         ",NULL
3MPWNP01A,002,003,"01-PW-15705 ",15705,0," "," ",1900-01-01 00:00:00.000,"0         ","0         ",NULL
1MOSNT01B,011,060,"00-OS-15826 ",15826,1," "," ",2000-09-05 00:00:00.000,"0         ","0         ",NULL
1MPWNP01A,002,003,"00-PW-15903 ",15903,2,232475,change oil due to viscosity which tested at 166 vs expected of 150 cSt.,2000-09-28 00:00:00.000,"0         ","0         ",NULL
2MZCNG01,168,007,"00-ZC-16067 ",16067,1," "," ",2000-10-17 00:00:00.000,"0         ","0         ",NULL
2MCHBP01,001,006,"01-CH-17281 ",17281,0," ",oil meets criteria and is acceptable,2001-04-09 00:00:00.000,"0         ","0         ",NULL
3JSGNHV1142,097,040,"01-SG-18773 ",18773,1," "," ",2001-11-01 00:00:00.000,"0         ","0         ",NULL
3MZFNG01,033,080,"01-ZF-19246 ",19246,0," ",oil meets morlina 150 criteria,2001-12-12 00:00:00.000,"0         ","0         ",NULL
2MZCNG01,168,007,"02-ZC-20182 ",20182,0," ",ba  is used which increases TAN. Oil is acccaptable for continued use. FTIR sat. Vis affect by Vaportech & sat,2002-04-04 00:00:00.000,"0         ","0         ",NULL
2MSCNP13,064,040,"02-SC-20738 ",20738,0," ",lube meets requirements,2002-06-14 00:00:00.000,"0         ","0         ",NULL
1JSGBUV0137,005,009,"99-SG-11262 ",11262,1," "," ",1999-04-01 00:00:00.000,"0         ","0         ",NULL
3JSGAUV0177,005,009,"97-SG-8086  ",8086,1," ","Change oil per wr # 933416, MAint Engr. notified",1997-10-31 00:00:00.000,"0         ","0         ",NULL
1MCONT01,019,009,"98-CO-8663  ",8663,1," "," ",1998-01-27 00:00:00.000,"0         ","0         ",NULL
3MARNP01B,001,002,"98-AR-10149 ",10149,1," "," ",1998-07-27 00:00:00.000,"0         ","0         ",NULL
3MRCEP01B,001,013,"98-RC-10638 ",10638,1," "," ",1998-10-05 00:00:00.000,"0         ","0         ",NULL
2MCHBP01,001,007,"00-CH-14347 ",14347,1," "," ",2000-02-17 00:00:00.000,"0         ","0         ",NULL
3MCHBP01,001,007,"01-CH-16647 ",16647,1," "," ",2001-02-01 00:00:00.000,"0         ","0         ",NULL
1MLONT01,016,008,"02-LO-20712 ",20712,1," "," ",2002-05-30 00:00:00.000,"0         ","0         ",NULL
2MZCNG01,036,009,"02-ZC-20184 ",20184,0," ",ba from vaportech inflates TAN. TAN is acceptable,2002-04-04 00:00:00.000,"0         ","0         ",NULL
3MCWNP01B,002,003,"02-CW-21602 ",21602,0,002454371,,2002-11-19 14:24:32.000,"99850     ","0         ",NULL
3MLONT02A,016,008,"02-LO-21616 ",21616,0,002456975,Rust test not performed. LE written to satisfy software issue only. Oil is acceptable. No evidence of rust issue,2002-11-19 14:28:58.000,"99850     ","0         ",NULL
AMZYNE10,175,009,"02-ZY-22064 ",22064,0,2461252,,2002-11-19 15:45:06.000,"99850     ","0         ",NULL
1MLONT02A,016,008,"02-LO-22104 ",22104,0,2456538,unscheduled LE required due to glitch in software. Oil is acceptable.,2002-11-21 08:32:07.000,"99850     ","0         ",NULL
3MSCNP09,064,040,"02-SC-22096 ",22096,0,2457226,,2002-11-21 09:38:52.000,"99850     ","0         ",NULL
1JSGNUV0037,097,040,"02-SG-21806 ",21806,2,2455345,oil change and refurb recommended due to very high debris and wear load in sample.,2002-11-21 16:23:43.000,"99850     ","0         ",NULL
3MLONT02A,016,008,"02-LO-22031 ",22031,0,2456976,unscheduled LE as a result of software glitch. FTIR is satisfactory and does not indicate issues. Oil is considered satisfactory,2002-11-22 13:49:08.000,"99850     ","0         ",NULL
1MCHAP01,001,006,"97-CH-8458  ",8458,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
1MCHEP01,001,006,"97-CH-8285  ",8285,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
1MSIAP03,002,003,"97-SI-8463  ",8463,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
1MSIBP03,002,003,"97-SI-8466  ",8466,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
3MSIAP01,002,003,"97-SI-8553  ",8553,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
3MSPAP01,002,003,"97-SP-8500  ",8500,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
3MSPAP01,002,004,"97-SP-8503  ",8503,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
3MAFNP01,001,001,"97-AF-8490  ",8490,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
3MAFNP01,001,002,"97-AF-8491  ",8491,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
3MAFNP01,002,001,"97-AF-8488  ",8488,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
3MAFNP01,002,002,"97-AF-8489  ",8489,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
3MAFAP01,001,001,"97-AF-8485  ",8485,0," "," ",1997-12-22 00:00:00.000,"0         ","0         ",NULL
