ID,group_name,valueat,tagNumber,component,location,exclude,excluded_on,fname
4295,"V - MT SMB-3-60 LS                      ",62,3JMTNUV0330B,099,040,NULL,NULL,NULL
3610,"Breathing Air Comp                      ",123,1MIANC02,003,009,NULL,NULL,NULL
4137,"Charging Pmp Crank                      ",7,2MCHEP01,001,006,NULL,NULL,NULL
4299,"V - SB-3 gear 8910                      ",109,1JSIAUV0635,097,040,NULL,NULL,NULL
4302,"V - SB-3 LS 8910                        ",110,1JSIAUV0635,099,040,NULL,NULL,NULL
4328,"V - SMB-00 gear hot                     ",215,2JSGNHV1143,097,040,NULL,NULL,
2855,"Main Centrifuge                         ",155,1MOSNF01,031,009,NULL,NULL,NULL
3404,"MT SMC-04 Gear                          ",42,1JMTNHV0389B,097,040,NULL,NULL,NULL
870,"V - SMB-000 HBC-0 Pinion                ",48,1MHCNM01B,002,066,NULL,NULL,
871,"V - SMB-000 HBC-0 Pinion                ",48,1MHCNM01C,002,066,NULL,NULL,
872,"V - SMB-000 HBC-0 Pinion                ",48,1MHCNM01D,002,066,NULL,NULL,
873,"V - SMB-000 HBC-0 Pinion                ",48,1MHCNM02A,002,066,NULL,NULL,
874,"V - SMB-000 HBC-0 Pinion                ",48,1MHCNM02B,002,066,NULL,NULL,
875,"V - SMB-000 HBC-0 Pinion                ",48,1MHCNM02C,002,066,NULL,NULL,
876,"V - SMB-000 HBC-0 Pinion                ",48,1MHCNM02D,002,066,NULL,NULL,
4355,"V - SMB-3 LS 8910                       ",113,1JSIBUV0652,099,040,NULL,NULL,NULL
878,"V - SMB-000 HBC-0 Pinion                ",48,1MHCNM03B,002,066,NULL,NULL,
879,"V - SMB-000 HBC-0 Pinion                ",48,1MHCNM03C,002,066,NULL,NULL,
4363,"Tellus 100 misc                         ",216,-2NGRNC01B,003,006,NULL,NULL,NULL
881,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM01A,002,066,NULL,NULL,
882,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM01B,002,066,NULL,NULL,
883,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM01C,002,066,NULL,NULL,
884,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM01D,002,066,NULL,NULL,
885,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM02A,002,066,NULL,NULL,
886,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM02B,002,066,NULL,NULL,
887,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM02C,002,066,NULL,NULL,
4656,"Cooling tower motor bearings            ",229,2MCWNA01L,002,001,NULL,NULL,
889,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM03A,002,066,NULL,NULL,
890,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM03B,002,066,NULL,NULL,
891,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM03C,002,066,NULL,NULL,
892,"V - SMB-000 HBC-0 Pinion                ",48,2MHCNM03D,002,066,NULL,NULL,
893,"V - SMB-000 HBC-0 Pinion                ",48,3MHCNM01A,002,066,NULL,NULL,
894,"V - SMB-000 HBC-0 Pinion                ",48,3MHCNM01B,002,066,NULL,NULL,
3613,"Breathing Air Comp                      ",123,3MIANC02,003,009,NULL,NULL,NULL
3431,"DG starting Air                         ",23,2MDGNC01A,003,006,NULL,NULL,NULL
897,"V - SMB-000 HBC-0 Pinion                ",48,3MHCNM02A,002,066,NULL,NULL,
898,"V - SMB-000 HBC-0 Pinion                ",48,3MHCNM02B,002,066,NULL,NULL,
405,"Emer DG Filter                          ",29,2MDGAF08,027,009,NULL,NULL,
428,"Fuel Pool Pmp Brg                       ",33,3MPCAP01,001,019,NULL,NULL,
5239,"Turbine Oil                             ",135,3MLONT01,016,008,NULL,NULL,NULL
431,"SG Snubber                              ",34,1MRCEE01S,017,177,NULL,NULL,
4847,"FUEL CRANE HOIST/TROLLEY                ",179,1MZFNG02,221,007,NULL,NULL,NULL
433,"SG Snubber                              ",34,1MRCEE01S,017,179,NULL,NULL,
435,"SG Snubber                              ",34,2MRCEE01S,017,177,NULL,NULL,
436,"SG Snubber                              ",34,2MRCEE01S,017,178,NULL,NULL,
437,"SG Snubber                              ",34,2MRCEE01S,017,179,NULL,NULL,
5313,"SG Snubber                              ",34,3MRCEE01S,017,177,NULL,NULL,NULL
440,"SG Snubber                              ",34,3MRCEE01S,017,178,NULL,NULL,
3502,"Chillers                                ",151,2MWCNE01A,007,009,NULL,NULL,NULL
3036,"RCP Snubber                             ",35,1MRCEP01S,017,153,NULL,NULL,NULL
3678,"V - SMB-000 HBC-0                       ",47,1MHCNM01D,097,040,NULL,NULL,NULL
444,"RCP Snubber                             ",35,1MRCEP01S,017,157,NULL,NULL,
445,"RCP Snubber                             ",35,1MRCEP01S,017,159,NULL,NULL,
2550,"AF pmp brgs                             ",24,1MAFAP01,001,001,NULL,NULL,NULL
447,"RCP Snubber                             ",35,1MRCEP01S,017,163,NULL,NULL,
448,"RCP Snubber                             ",35,1MRCEP01S,017,165,NULL,NULL,
4743,"Emer DG Gov                             ",30,2MDGAH01,162,009,NULL,NULL,NULL
4040,"V - 13A-43 gear                         ",204,2JCDNHV0029,097,040,NULL,NULL,NULL
451,"RCP Snubber                             ",35,2MRCEP01S,017,155,NULL,NULL,
452,"RCP Snubber                             ",35,2MRCEP01S,017,157,NULL,NULL,
453,"RCP Snubber                             ",35,2MRCEP01S,017,159,NULL,NULL,
454,"RCP Snubber                             ",35,2MRCEP01S,017,161,NULL,NULL,
455,"RCP Snubber                             ",35,2MRCEP01S,017,163,NULL,NULL,
456,"RCP Snubber                             ",35,2MRCEP01S,017,165,NULL,NULL,
457,"RCP Snubber                             ",35,2MRCEP01S,017,167,NULL,NULL,
459,"RCP Snubber                             ",35,3MRCEP01S,017,155,NULL,NULL,
460,"RCP Snubber                             ",35,3MRCEP01S,017,157,NULL,NULL,
461,"RCP Snubber                             ",35,3MRCEP01S,017,159,NULL,NULL,
462,"RCP Snubber                             ",35,3MRCEP01S,017,161,NULL,NULL,
3156,"RCP Snubber                             ",35,3MRCEP01S,017,163,NULL,NULL,NULL
464,"RCP Snubber                             ",35,3MRCEP01S,017,165,NULL,NULL,
3157,"RCP Snubber                             ",35,3MRCEP01S,017,167,NULL,NULL,NULL
5338,"Turb Stor Tank                          ",136,3MOSNT01A,011,060,NULL,NULL,NULL
502,"MT SMC-04 LS                            ",41,1JMTNHV0246,099,040,NULL,NULL,
489,"Compressor Filters                      ",40,1MIANC01A,003,172,NULL,NULL,
490,"Compressor Filters                      ",40,1MIANC01B,003,172,NULL,NULL,
491,"Compressor Filters                      ",40,1MIANC01C,003,172,NULL,NULL,
493,"Compressor Filters                      ",40,2MIANC01B,003,172,NULL,NULL,
494,"Compressor Filters                      ",40,2MIANC02,003,172,NULL,NULL,
503,"MT SMC-04 LS                            ",41,1JMTNHV0247,099,040,NULL,NULL,
497,"Compressor Filters                      ",40,3MIANC01B,003,172,NULL,NULL,
498,"Compressor Filters                      ",40,3MIANC01C,003,172,NULL,NULL,
499,"Compressor Filters                      ",40,3MIANC02,003,172,NULL,NULL,
504,"MT SMC-04 LS                            ",41,1JMTNHV0248,099,040,NULL,NULL,
4140,"MT SMC-04 LS                            ",41,1JMTNHV0249,099,040,NULL,NULL,NULL
506,"MT SMC-04 LS                            ",41,1JMTNHV0251,099,040,NULL,NULL,
507,"MT SMC-04 LS                            ",41,1JMTNHV0252,099,040,NULL,NULL,
508,"MT SMC-04 LS                            ",41,1JMTNHV0253,099,040,NULL,NULL,
509,"MT SMC-04 LS                            ",41,1JMTNHV0254,099,040,NULL,NULL,
510,"MT SMC-04 LS                            ",41,1JMTNHV0255,099,040,NULL,NULL,
511,"MT SMC-04 LS                            ",41,1JMTNHV0256,099,040,NULL,NULL,
512,"MT SMC-04 LS                            ",41,1JMTNHV0257,099,040,NULL,NULL,
513,"MT SMC-04 LS                            ",41,1JMTNHV0258,099,040,NULL,NULL,
