ID,testID,Na,Mo,Mg,P,B,H,Cr,Ca,Ni,Ag,Cu,Sn,Al,Mn,Pb,Fe,Si,Ba,Sb,Zn,trialDate,trialNum
78,30,0,0,0,13,0,13183,0,0,0,0,0,0,0,0,1,0,2,5,0,2,1993-10-04 00:00:00.000,1
79,30,298,0,0,57441,0,13849,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993-10-07 00:00:00.000,1
80,30,290,0,0,59100,0,13262,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1993-10-07 00:00:00.000,1
81,30,288,0,0,61743,0,13209,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1993-10-07 00:00:00.000,1
82,30,311,0,0,55725,0,13213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993-10-04 00:00:00.000,1
83,30,1,1,1,0,0,12055,0,0,0,0,0,2,1,1,2,1,0,0,0,2,1993-10-04 00:00:00.000,1
10570,30,1,0,0,0,0,15272,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1998-09-16 00:00:00.000,1
10571,30,0,0,0,86,1,15650,0,2,0,0,0,1,1,0,1,7,1,1,14,3,1998-09-16 00:00:00.000,1
10572,30,1,0,0,2,0,15937,0,0,0,0,0,1,0,1,3,1,0,0,1,1,1998-09-16 00:00:00.000,1
10573,30,1,0,0,10,0,15397,0,1,0,0,0,0,0,0,11,2,0,0,0,2,1998-09-16 00:00:00.000,1
10574,30,0,0,0,70,1,15464,0,0,0,0,0,1,0,0,0,5,1,2,7,3,1998-09-16 00:00:00.000,1
10575,30,0,0,0,77,1,15584,0,0,0,0,0,1,0,1,0,4,1,2,6,5,1998-09-16 00:00:00.000,1
10576,30,0,0,0,5,0,15837,0,0,0,0,0,1,0,0,2,1,2,0,0,2,1998-09-16 00:00:00.000,1
10577,30,2,110,72,1203,134,15617,0,2052,0,0,4,0,1,0,4,5,9,0,0,1393,1998-09-16 00:00:00.000,1
10578,30,12,2,1,354,1,14327,1,26,0,0,4,5,1,2,3,15,13,2,35,70,1998-09-16 00:00:00.000,1
10579,30,0,0,0,2855,0,12262,0,2,0,0,97,5,1,1,0,2,26,20,50,25,1998-09-16 00:00:00.000,1
10580,30,0,0,0,1,0,15691,0,1,0,0,1,0,0,0,0,2,1,0,0,3,1998-09-16 00:00:00.000,1
10581,30,0,0,0,0,0,16052,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1998-09-16 00:00:00.000,1
10582,30,0,0,0,41,0,15452,0,0,0,0,0,1,0,0,0,1,43,2,7,3,1998-09-16 00:00:00.000,1
10583,30,0,0,0,4,0,15503,0,1,0,0,0,0,0,1,0,15,1,0,2,1,1998-09-16 00:00:00.000,1
10584,30,1,0,0,0,0,15242,0,0,0,0,0,1,0,0,1,1,2,0,0,3,1998-09-16 00:00:00.000,1
10585,30,1,0,0,0,0,15767,0,0,0,0,0,0,0,0,1,1,4,0,0,3,1998-09-16 00:00:00.000,1
10586,30,1,0,0,18,1,15659,0,2,0,0,0,0,0,0,0,0,1,0,0,4,1998-09-16 00:00:00.000,1
10587,30,1,0,1,164,1,15576,0,32,1,0,35,0,2,1,1,8,1,0,0,16,1998-09-16 00:00:00.000,1
10588,30,0,0,1,157,1,16010,0,8,1,0,27,0,1,1,0,4,1,0,0,12,1998-09-16 00:00:00.000,1
10590,30,6267,24,999,1879,5,9241,1,2536,0,0,552,18,2414,10,10,2825,9740,44,267,154,1998-09-16 00:00:00.000,1
10591,30,267,2,287,891,0,10544,3,15263,2,0,3,0,20,5,4,49,80,0,20,5,1998-09-16 00:00:00.000,1
10592,30,275,0,291,570,0,11773,1,12582,0,0,2,0,14,2,0,36,56,0,0,2,1998-09-16 00:00:00.000,1
10593,30,25152,0,708,277,2,13945,1,23612,2,0,28,0,143,3,20,129,221,0,0,144,1998-09-16 00:00:00.000,1
10594,30,29318,0,785,258,2,13785,3,25883,4,0,55,0,160,4,22,122,236,0,0,222,1998-09-16 00:00:00.000,1
10595,30,7109,0,805,8,1,12595,3,20582,1,0,83,0,86,7,16,253,234,0,7,117,1998-09-16 00:00:00.000,1
10596,30,1,0,0,0,0,15356,0,1,0,0,1,0,0,0,0,24,4,0,0,1,1998-09-16 00:00:00.000,1
10597,30,1,0,0,180,18,15763,0,36,0,0,45,4,0,0,0,7,4,0,0,3,1998-09-16 00:00:00.000,1
10598,30,1,0,0,73,0,15488,0,0,0,0,17,2,0,0,2,5,274,0,4,2,1998-09-16 00:00:00.000,1
10599,30,0,0,0,1,0,15538,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1998-09-16 00:00:00.000,1
10589,30,13894,5,259,19,1,4867,6,17488,7,1,2,32,23,8,14,34,67,0,22,19,1998-09-16 00:00:00.000,1
10600,30,1,0,0,0,0,15769,0,1,0,0,0,1,0,0,1,2,2,0,0,9,1998-09-16 00:00:00.000,1
